,人口
議席,250
北海道,3518389
青森県,1083250
岩手県,1227789
宮城県,1462254
秋田県,1211871
山形県,1326350
福島県,1957356
茨城県,1944344
栃木県,1546355
群馬県,1546081
埼玉県,2047261
千葉県,1966862
東京都,3488284
神奈川県,1865667
新潟県,2389653
富山県,953834
石川県,887510
福井県,724856
山梨県,839057
長野県,2121050
岐阜県,1518649
静岡県,2220358
愛知県,2857851
三重県,1394286
滋賀県,860911
京都府,1603796
大阪府,2800958
兵庫県,2821892
奈良県,779685
和歌山県,936006
鳥取県,563220
島根県,860275
岡山県,1564626
広島県,1885471
山口県,1356491
徳島県,835763
香川県,863700
愛媛県,1361484
高知県,775578
福岡県,2746855
佐賀県,830431
長崎県,1318589
熊本県,1556490
大分県,1124513
宮崎県,913687
鹿児島県,1538466
