,北海道,東北,北関東,南関東,東京都,北陸信越,東海,近畿,中国,四国,九州
定数,8,14,20,22,17,11,21,29,11,6,21
自民,692304,1238716,1820116,2020043,1626057,1162095,1966007,2326005,1210400,567193,1995521
民主,477356,805709,976922,1323048,1008011,682159,1321402,1173051,570764,296914,993317
維新,333760,725006,1169781,1443270,1298309,707497,1356970,2999020,622226,394393,1211996
公明,289011,398131,820358,810936,662743,307138,779577,1234345,493800,276907,1043528
みんな,155522,306102,787462,951294,762730,275399,644087,635381,209627,93090,424892
未来,81838,391216,387625,477309,448689,178403,511048,481603,141360,63830,260994
共産,182968,256838,367245,447890,484365,210219,387461,732976,174648,106976,337573
社民,48351,160367,118046,147191,136889,128443,136316,133064,68653,42762,300708
大地,346848,0,0,0,0,0,0,0,0,0,0
国民,0,0,0,0,0,0,0,0,0,0,70847
改革,0,41587,0,0,93194,0,0,0,0,0,0
幸福,10506,14825,19795,20987,16620,15767,29739,33509,14383,8171,31848
