,北海道,東北,北関東,南関東,東京,北陸信越,東海,近畿,中国,四国,九州
議席,8,13,19,22,17,11,21,28,11,6,20
自民,863300,1628233,2172065,2590787,2000084,1468380,2515841,2407699,1352723,664805,2250966
公明,294371,456287,823930,850667,715450,322535,784976,1155683,436220,233407,1040756
立憲,682913,991505,1391149,1651562,1293281,773076,1485947,1090666,573324,291871,1266801
共産,207189,292830,444115,534493,670340,225551,408606,736156,173117,108021,365658
維新,215344,258690,617531,863897,858577,361476,694630,3180219,286302,173826,540338
国民,73621,195754,298056,384482,306180,133600,382734,303480,113899,122082,279509
社民,41248,101442,97963,124447,92995,71185,84220,100980,52638,30249,221221
れ新,102086,143265,239592,302675,360387,111281,273208,292483,94446,52941,243284
N党,42916,52664,87702,111298,92353,43529,98238,111539,36758,21285,98506
支なし,46142,0,0,0,0,0,0,0,0,0,0
第一,0,0,0,0,33661,0,0,0,0,0,0
やまと,0,0,0,0,16970,0,0,0,0,0,0
コロナ,0,0,0,0,6620,0,0,0,0,0,0
